GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,InferenceChemicalName,InferenceScore,OmimIDs,PubMedIDs
RABGGTA,5875,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.98,,21296072
RABGGTB,5876,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.72,,21296072
RABL2B,11158,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.52,,21296072
RAC1,5879,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.32,,21296072
RAC3,5881,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.93,,21296072
RACK1,10399,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.56,,21296072
RAD17,5884,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.82,,21296072
RAD50,10111,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.55,,21296072
RAD51AP1,10635,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.58,,21296072
RAD51C,5889,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.71,,21296072
RAD51D,5892,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.1,,21296072
RAD54L2,23132,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.98,,21296072
RAI14,26064,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.71,,21296072
RALA,5898,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.69,,21296072
RALGDS,5900,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.75,,21296072
RALGPS2,55103,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.87,,21296072
RAMP2,10266,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.78,,21296072
RANBP1,5902,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.63,,21296072
RANBP10,57610,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.07,,21296072
RANBP2,5903,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.85,,21296072
RANBP9,10048,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.99,,21296072
RANGAP1,5905,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.67,,21296072
RANGRF,29098,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.06,,21296072
RAP1GAP,5909,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.67,,21296072
RAP2A,5911,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.91,,21296072
RAP2C,57826,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.06,,21296072
RAPGEF4,11069,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.65,,21296072
